COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ZUARIGLOB,2021-07-01,132.45,132.95,125.6,127.0,126.6
ZUARIGLOB,2021-07-02,130.25,132.9,125.9,131.7,131.75
ZUARIGLOB,2021-07-05,132.0,138.3,132.0,137.4,137.3
ZUARIGLOB,2021-07-06,138.9,144.15,138.05,144.15,144.15
ZUARIGLOB,2021-07-07,148.4,148.4,138.25,142.6,142.45
ZUARIGLOB,2021-07-08,142.95,149.55,142.9,149.55,149.5
ZUARIGLOB,2021-07-09,156.8,156.95,149.6,156.95,156.95
ZUARIGLOB,2021-07-12,161.0,161.8,152.65,156.0,156.2
ZUARIGLOB,2021-07-13,156.3,163.0,156.0,163.0,161.25
ZUARIGLOB,2021-07-14,164.0,169.3,162.3,169.3,169.3
ZUARIGLOB,2021-07-15,170.8,177.75,162.1,165.3,165.0
ZUARIGLOB,2021-07-16,167.9,170.95,156.75,157.6,158.05
ZUARIGLOB,2021-07-19,155.15,165.9,155.15,163.8,164.75
